id,居住地,性別,年齡,年齡組,教育程度,職業,婚姻狀況,媒體習慣
703,金門縣,男,67,65歲以上,高中(職),事務人員,已婚,LINE、YouTube、Instagram
704,臺中市,女,49,45–54歲,大學,家管,未婚,LINE、Facebook、YouTube、Instagram、小紅書
705,桃園市,女,63,55–64歲,大學,退休,已婚,LINE、Facebook、Instagram、TikTok、WeChat
706,新北市,男,78,65歲以上,大學,退休,已婚,LINE、YouTube
707,臺南市,男,51,45–54歲,高中(職),專業人員,已婚,LINE、Facebook、YouTube、Instagram、小紅書
708,新北市,女,62,55–64歲,國小以下,技術/助理專業,已婚,LINE、Facebook、YouTube、TikTok
709,臺東縣,女,30,25–34歲,高中(職),服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、Pinterest
710,高雄市,女,82,65歲以上,高中(職),家管,未婚,LINE、Facebook
711,新竹縣,女,42,35–44歲,高中(職),技術/助理專業,未婚,LINE、Facebook、Instagram、TikTok、Telegram
712,桃園市,女,55,55–64歲,大學,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、Threads
713,澎湖縣,男,37,35–44歲,國小以下,其他/待業,已婚,LINE、Facebook、YouTube、Threads
714,臺南市,女,48,45–54歲,大學,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok、Tumblr
715,臺中市,女,82,65歲以上,高中(職),服務/銷售,未婚,LINE、Instagram、TikTok
716,屏東縣,女,30,25–34歲,專科,技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WhatsApp、Telegram
717,新竹市,男,67,65歲以上,大學,技術工/勞工,未婚,LINE、Facebook、Instagram
718,新北市,女,77,65歲以上,高中(職),退休,未婚,LINE、Facebook、Instagram
719,新北市,女,85,65歲以上,國中,退休,未婚,LINE、Facebook、YouTube、Instagram
720,彰化縣,男,46,45–54歲,大學,技術工/勞工,已婚,LINE、Facebook、Instagram、TikTok
721,桃園市,女,78,65歲以上,碩士以上,退休,已婚,LINE、Facebook、Threads
722,高雄市,女,74,65歲以上,國中,退休,已婚,LINE、Facebook、YouTube、Instagram、WeChat
723,臺北市,男,19,15–24歲,大學,事務人員,未婚,LINE、Facebook、YouTube、TikTok、WeChat、Threads
724,臺北市,男,56,55–64歲,大學,服務/銷售,已婚,LINE、Facebook、YouTube、TikTok、WeChat
725,臺中市,男,81,65歲以上,高中(職),退休,未婚,LINE、Facebook、Instagram
726,臺中市,女,30,25–34歲,專科,管理/主管,未婚,LINE、Facebook、YouTube、Instagram
727,桃園市,男,73,65歲以上,大學,退休,已婚,LINE、Facebook、YouTube、Instagram
728,基隆市,女,61,55–64歲,高中(職),服務/銷售,已婚,LINE、Facebook、YouTube、TikTok、Threads
729,桃園市,男,24,15–24歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、Threads、X(Twitter)、LinkedIn
730,高雄市,男,36,35–44歲,大學,事務人員,已婚,LINE、Facebook、YouTube、TikTok、Threads
731,新北市,男,58,55–64歲,國中,事務人員,已婚,LINE、Facebook、YouTube、Instagram
732,臺北市,男,33,25–34歲,大學,專業人員,已婚,LINE、Facebook、YouTube、Instagram、TikTok、X(Twitter)
733,彰化縣,男,79,65歲以上,大學,退休,已婚,LINE、Facebook、Telegram
734,臺北市,男,23,15–24歲,國小以下,事務人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、Tumblr
735,臺南市,男,17,15–24歲,高中(職),學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok
736,臺中市,女,23,15–24歲,國中,技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、Threads
737,新北市,女,22,15–24歲,高中(職),學生,未婚,LINE、Facebook、Instagram、TikTok、小紅書、Telegram
738,花蓮縣,女,24,15–24歲,國小以下,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、X(Twitter)
739,臺中市,男,64,55–64歲,大學,退休,未婚,LINE、Facebook
740,高雄市,男,57,55–64歲,大學,服務/銷售,已婚,LINE、Facebook、YouTube
741,新北市,女,16,15–24歲,國中,其他/待業,未婚,LINE、Facebook、YouTube、TikTok、小紅書
742,新北市,男,47,45–54歲,大學,事務人員,未婚,LINE、Facebook、YouTube、TikTok、WeChat
743,桃園市,女,49,45–54歲,國中,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram
744,新北市,女,59,55–64歲,國小以下,服務/銷售,已婚,LINE、Facebook、YouTube
745,南投縣,女,25,25–34歲,高中(職),家管,未婚,LINE、Facebook、YouTube、Instagram、小紅書、X(Twitter)、WhatsApp
746,新北市,女,68,65歲以上,國中,家管,已婚,LINE、Facebook、YouTube、Instagram
747,彰化縣,女,45,45–54歲,專科,技術工/勞工,已婚,LINE、Facebook、Instagram、X(Twitter)
748,嘉義市,男,68,65歲以上,大學,退休,未婚,LINE、Facebook、YouTube、Instagram
749,高雄市,女,26,25–34歲,碩士以上,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok、X(Twitter)
750,桃園市,女,79,65歲以上,專科,退休,已婚,LINE、Facebook、YouTube
751,臺南市,女,55,55–64歲,高中(職),家管,已婚,LINE、Facebook、YouTube、Instagram、WeChat、Threads
752,新北市,女,95,65歲以上,高中(職),退休,未婚,LINE、Facebook、YouTube
753,基隆市,男,15,15–24歲,國中,學生,未婚,LINE、Facebook、YouTube、TikTok、LinkedIn
754,臺南市,男,18,15–24歲,大學,學生,未婚,LINE、Facebook、Instagram、TikTok、小紅書
755,新竹市,男,65,65歲以上,高中(職),退休,已婚,LINE、Facebook、YouTube
756,基隆市,女,26,25–34歲,高中(職),家管,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書
757,高雄市,男,71,65歲以上,專科,退休,已婚,LINE、Facebook、YouTube、Instagram、TikTok
758,臺南市,男,29,25–34歲,大學,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、WhatsApp
759,宜蘭縣,女,67,65歲以上,國中,退休,已婚,LINE、Facebook、YouTube、TikTok
760,臺南市,男,73,65歲以上,高中(職),退休,已婚,LINE、YouTube
761,新北市,女,74,65歲以上,碩士以上,退休,已婚,LINE、Facebook、YouTube
762,臺中市,男,34,25–34歲,大學,家管,未婚,LINE、Facebook、YouTube
763,高雄市,女,18,15–24歲,高中(職),管理/主管,未婚,LINE、Facebook、YouTube、Instagram、TikTok
764,彰化縣,男,36,35–44歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、Telegram
765,臺南市,男,55,55–64歲,國小以下,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、Threads
766,彰化縣,男,36,35–44歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok
767,臺中市,女,61,55–64歲,專科,技術/助理專業,已婚,LINE、Facebook、YouTube
768,高雄市,女,66,65歲以上,國中,技術工/勞工,已婚,LINE、Facebook
769,臺中市,女,27,25–34歲,國中,事務人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WhatsApp
770,基隆市,女,31,25–34歲,碩士以上,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、TikTok、X(Twitter)
771,臺北市,女,45,45–54歲,大學,事務人員,未婚,LINE、Facebook、YouTube、WeChat
772,新北市,男,70,65歲以上,高中(職),家管,未婚,LINE、Facebook、Instagram
773,新北市,女,41,35–44歲,碩士以上,事務人員,未婚,LINE、Facebook、YouTube、X(Twitter)
774,新北市,男,93,65歲以上,碩士以上,退休,未婚,LINE、Facebook
775,新北市,女,61,55–64歲,大學,退休,未婚,LINE、Facebook、Pinterest
776,新竹縣,男,69,65歲以上,高中(職),退休,已婚,LINE、Facebook、YouTube、Instagram
777,新北市,男,76,65歲以上,高中(職),退休,未婚,LINE、Facebook、YouTube、TikTok
778,金門縣,女,50,45–54歲,國小以下,技術工/勞工,已婚,LINE、Facebook、YouTube、TikTok
779,苗栗縣,女,19,15–24歲,高中(職),學生,未婚,LINE、Facebook、YouTube、Instagram、小紅書、WeChat
780,臺中市,女,71,65歲以上,高中(職),退休,已婚,LINE、Facebook、YouTube
781,彰化縣,男,30,25–34歲,大學,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、X(Twitter)、LinkedIn
782,新北市,女,68,65歲以上,碩士以上,退休,已婚,LINE、Facebook
783,新竹縣,女,16,15–24歲,大學,學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、X(Twitter)、WhatsApp、Telegram、Tumblr
784,臺北市,女,56,55–64歲,大學,專業人員,未婚,LINE、Facebook、Instagram、WeChat
785,雲林縣,女,61,55–64歲,大學,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、小紅書
786,桃園市,男,31,25–34歲,碩士以上,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、Pinterest
787,新北市,女,95,65歲以上,高中(職),退休,未婚,LINE、Facebook、YouTube、Instagram、WeChat
788,臺中市,女,79,65歲以上,高中(職),退休,已婚,LINE、Facebook、小紅書
789,屏東縣,男,69,65歲以上,大學,家管,未婚,LINE、Facebook、YouTube、Telegram
790,彰化縣,男,54,45–54歲,高中(職),服務/銷售,已婚,LINE、Facebook、YouTube、Instagram
791,嘉義縣,男,33,25–34歲,國中,農林漁牧,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat
792,基隆市,男,58,55–64歲,高中(職),事務人員,未婚,LINE、Facebook、YouTube
793,臺東縣,男,51,45–54歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、WeChat
794,臺北市,女,21,15–24歲,高中(職),學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書
795,臺中市,男,55,55–64歲,大學,技術/助理專業,未婚,LINE、Facebook、YouTube
796,新北市,男,43,35–44歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube
797,彰化縣,女,54,45–54歲,碩士以上,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、WeChat
798,新北市,女,29,25–34歲,專科,技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram、TikTok、Threads
799,花蓮縣,男,23,15–24歲,國中,技術工/勞工,未婚,LINE、Facebook、Instagram、TikTok、WeChat
800,基隆市,女,70,65歲以上,大學,退休,已婚,LINE、Facebook、Instagram
801,新北市,女,33,25–34歲,大學,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書
802,臺中市,男,31,25–34歲,高中(職),管理/主管,已婚,LINE、Facebook、YouTube、TikTok、Pinterest
803,臺北市,女,60,55–64歲,大學,其他/待業,已婚,LINE、Facebook、YouTube、Instagram、TikTok、Threads
804,臺中市,男,24,15–24歲,高中(職),學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、Threads
805,臺中市,男,75,65歲以上,大學,退休,已婚,LINE、Facebook、YouTube
806,高雄市,男,66,65歲以上,大學,退休,已婚,LINE、Facebook、YouTube
807,新北市,女,46,45–54歲,大學,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、小紅書
808,高雄市,男,49,45–54歲,大學,技術/助理專業,已婚,LINE、Facebook、Instagram、Tumblr
809,臺中市,女,20,15–24歲,高中(職),學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、X(Twitter)
810,嘉義縣,女,17,15–24歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、小紅書、Threads、X(Twitter)、WhatsApp
811,臺南市,男,41,35–44歲,國中,技術工/勞工,已婚,LINE、Facebook、Instagram、TikTok、Threads
812,新北市,女,57,55–64歲,高中(職),家管,未婚,LINE、Facebook、Instagram
813,臺中市,女,58,55–64歲,大學,專業人員,未婚,LINE、Facebook、YouTube、X(Twitter)
814,嘉義縣,女,63,55–64歲,大學,技術工/勞工,已婚,LINE、Facebook、YouTube
815,高雄市,男,74,65歲以上,國中,退休,未婚,LINE、Facebook
816,桃園市,男,24,15–24歲,高中(職),技術工/勞工,未婚,LINE、Facebook、Instagram、X(Twitter)、WhatsApp
817,高雄市,女,42,35–44歲,高中(職),家管,未婚,LINE、Facebook、YouTube、TikTok、小紅書、Tumblr
818,高雄市,女,53,45–54歲,大學,家管,已婚,LINE、Facebook、YouTube、Instagram、Telegram
819,雲林縣,女,64,55–64歲,國小以下,技術工/勞工,未婚,LINE、Facebook、Instagram
820,高雄市,女,55,55–64歲,國小以下,事務人員,未婚,LINE、Facebook、YouTube
821,臺中市,男,56,55–64歲,專科,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok
822,桃園市,男,85,65歲以上,高中(職),退休,已婚,LINE、Facebook、Instagram
823,雲林縣,女,74,65歲以上,大學,服務/銷售,已婚,LINE、Facebook、Telegram
824,新竹縣,女,78,65歲以上,國中,退休,已婚,LINE、Facebook
825,新北市,男,42,35–44歲,大學,專業人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WhatsApp、Telegram
826,屏東縣,女,56,55–64歲,大學,服務/銷售,未婚,LINE、Facebook、Instagram、小紅書、Threads
827,高雄市,女,44,35–44歲,專科,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram
828,新竹縣,女,60,55–64歲,高中(職),服務/銷售,未婚,LINE、Facebook、YouTube、TikTok
829,桃園市,女,44,35–44歲,專科,技術工/勞工,已婚,LINE、Facebook、YouTube、TikTok
830,苗栗縣,女,58,55–64歲,大學,事務人員,已婚,LINE、Facebook、YouTube、Instagram、小紅書、X(Twitter)
831,臺中市,女,35,35–44歲,碩士以上,事務人員,未婚,LINE、Facebook、YouTube、Instagram
832,桃園市,男,66,65歲以上,高中(職),退休,已婚,LINE、Facebook、YouTube、Instagram、Threads
833,高雄市,男,83,65歲以上,碩士以上,退休,未婚,LINE、Facebook、Instagram、TikTok
834,臺北市,女,42,35–44歲,高中(職),事務人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、Snapchat
835,新北市,女,36,35–44歲,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram
836,屏東縣,男,28,25–34歲,國小以下,技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WeChat
837,臺南市,男,42,35–44歲,專科,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram
838,臺中市,女,66,65歲以上,大學,家管,已婚,LINE、Facebook、YouTube、TikTok
839,新北市,女,59,55–64歲,大學,技術工/勞工,已婚,LINE、YouTube、Instagram
840,新北市,男,58,55–64歲,碩士以上,其他/待業,未婚,LINE、Facebook、YouTube、Instagram
841,彰化縣,男,60,55–64歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、X(Twitter)
842,苗栗縣,女,43,35–44歲,高中(職),農林漁牧,未婚,LINE、Facebook、YouTube、Instagram、小紅書、WhatsApp、Telegram、LinkedIn
843,臺中市,男,21,15–24歲,大學,學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat
844,臺南市,男,15,15–24歲,高中(職),學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、X(Twitter)、Tumblr
845,彰化縣,女,65,65歲以上,國小以下,退休,已婚,LINE、Facebook、Instagram
846,新北市,男,52,45–54歲,高中(職),服務/銷售,未婚,LINE、Facebook、YouTube、Pinterest
847,高雄市,女,59,55–64歲,高中(職),家管,已婚,LINE、Facebook、YouTube、Instagram
848,高雄市,女,35,35–44歲,大學,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、TikTok
849,雲林縣,男,63,55–64歲,大學,技術工/勞工,未婚,LINE、Facebook、TikTok、Telegram
850,臺中市,男,28,25–34歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WeChat、X(Twitter)
851,高雄市,女,49,45–54歲,大學,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、Threads、Pinterest
852,臺東縣,女,92,65歲以上,大學,其他/待業,已婚,LINE、Facebook、YouTube、Instagram、TikTok、Telegram
853,屏東縣,男,52,45–54歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok
854,新竹縣,男,49,45–54歲,碩士以上,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、Threads
855,基隆市,男,66,65歲以上,大學,家管,未婚,LINE、Facebook、YouTube、Threads
856,臺中市,男,58,55–64歲,大學,事務人員,未婚,LINE、Facebook、YouTube、TikTok、Threads
857,臺北市,男,65,65歲以上,高中(職),專業人員,已婚,LINE、Facebook、YouTube
858,臺北市,男,76,65歲以上,專科,退休,已婚,LINE、Facebook
859,南投縣,女,30,25–34歲,國中,家管,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、X(Twitter)、WhatsApp
860,臺南市,女,27,25–34歲,專科,技術/助理專業,已婚,LINE、Facebook、YouTube、TikTok、X(Twitter)、WhatsApp
861,新北市,女,51,45–54歲,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、Pinterest
862,高雄市,女,33,25–34歲,專科,事務人員,已婚,LINE、Facebook、YouTube、Instagram、TikTok、Threads、X(Twitter)、WhatsApp
863,嘉義市,女,32,25–34歲,高中(職),服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WhatsApp、LinkedIn
864,桃園市,男,35,35–44歲,專科,服務/銷售,未婚,LINE、Facebook、YouTube、Pinterest
865,桃園市,女,30,25–34歲,大學,家管,未婚,LINE、Facebook、YouTube、Instagram、WeChat、X(Twitter)
866,臺中市,女,58,55–64歲,碩士以上,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、Threads
867,新北市,男,66,65歲以上,大學,退休,未婚,LINE、Facebook
868,嘉義縣,女,70,65歲以上,專科,退休,已婚,LINE、Facebook
869,雲林縣,男,67,65歲以上,國中,退休,已婚,LINE、Facebook、YouTube
870,高雄市,女,77,65歲以上,高中(職),退休,未婚,LINE、Facebook、YouTube
871,基隆市,女,30,25–34歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WhatsApp
872,臺南市,女,79,65歲以上,碩士以上,退休,已婚,LINE、Facebook
873,臺中市,男,17,15–24歲,專科,技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram、X(Twitter)、WhatsApp、Telegram、Snapchat
874,新北市,男,51,45–54歲,高中(職),服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、Threads、Telegram
875,臺中市,女,62,55–64歲,國中,家管,未婚,LINE、Facebook、YouTube、小紅書
876,臺北市,男,54,45–54歲,大學,其他/待業,已婚,LINE、Facebook、YouTube
877,臺南市,男,73,65歲以上,專科,退休,已婚,LINE、Facebook、YouTube、Instagram、Threads
878,臺北市,男,73,65歲以上,大學,家管,未婚,LINE、Facebook
879,新北市,女,58,55–64歲,大學,事務人員,已婚,LINE、Facebook、YouTube、小紅書
880,臺北市,女,72,65歲以上,高中(職),退休,已婚,LINE、Facebook、Instagram
881,臺中市,女,40,35–44歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、X(Twitter)
882,新北市,女,34,25–34歲,高中(職),家管,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、Threads
883,臺中市,男,31,25–34歲,高中(職),事務人員,未婚,LINE、Facebook、TikTok、X(Twitter)
884,臺中市,男,69,65歲以上,大學,家管,未婚,LINE、Facebook
885,新北市,男,88,65歲以上,大學,家管,已婚,LINE、Facebook、Instagram
886,新北市,女,17,15–24歲,高中(職),學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、Threads、WhatsApp、LinkedIn
887,新北市,男,68,65歲以上,專科,服務/銷售,未婚,LINE、Facebook
888,臺北市,男,35,35–44歲,專科,專業人員,已婚,LINE、Facebook、Instagram、TikTok
889,新北市,女,77,65歲以上,大學,退休,已婚,LINE、Facebook、YouTube、Instagram
890,宜蘭縣,女,44,35–44歲,國中,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、Pinterest
891,臺中市,男,44,35–44歲,高中(職),家管,已婚,LINE、Facebook、YouTube、Instagram、TikTok
892,新北市,男,71,65歲以上,大學,退休,已婚,LINE、Facebook、Instagram
893,臺東縣,女,47,45–54歲,專科,管理/主管,已婚,LINE、Facebook、YouTube、Instagram、TikTok
894,新北市,男,68,65歲以上,國中,家管,已婚,LINE、Facebook、YouTube、Instagram
895,高雄市,女,79,65歲以上,大學,退休,未婚,LINE、Facebook、YouTube
896,臺北市,女,51,45–54歲,高中(職),事務人員,未婚,LINE、Facebook、YouTube、Instagram、小紅書、Threads、Telegram
897,新北市,女,60,55–64歲,大學,事務人員,已婚,LINE、Facebook、YouTube、Instagram、WeChat
898,高雄市,女,21,15–24歲,高中(職),學生,未婚,LINE、Facebook、YouTube、TikTok、小紅書、X(Twitter)
899,南投縣,男,50,45–54歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube
900,雲林縣,女,64,55–64歲,國中,退休,未婚,LINE、Facebook、YouTube、Instagram
901,臺北市,女,51,45–54歲,專科,專業人員,已婚,LINE、Facebook、YouTube、Instagram、小紅書、Threads
902,臺南市,女,66,65歲以上,專科,退休,未婚,LINE、Facebook、YouTube、Instagram
903,臺中市,男,68,65歲以上,高中(職),技術工/勞工,已婚,LINE、Facebook、小紅書
904,新竹縣,女,46,45–54歲,碩士以上,事務人員,未婚,LINE、Facebook、YouTube、Instagram、WeChat
905,新北市,男,18,15–24歲,高中(職),學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat
906,宜蘭縣,男,34,25–34歲,高中(職),服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、X(Twitter)
907,新竹縣,女,15,15–24歲,高中(職),學生,未婚,LINE、Facebook、YouTube、Instagram、小紅書、Threads、X(Twitter)
908,臺北市,男,71,65歲以上,大學,退休,已婚,LINE、Facebook、YouTube
909,新北市,男,58,55–64歲,大學,服務/銷售,已婚,LINE、Facebook、YouTube、TikTok、Telegram、Pinterest
910,臺中市,女,49,45–54歲,碩士以上,技術工/勞工,已婚,LINE、Facebook、Instagram、小紅書、WeChat
911,臺中市,男,62,55–64歲,專科,技術/助理專業,已婚,LINE、Facebook、YouTube、Instagram、TikTok
912,桃園市,男,43,35–44歲,高中(職),事務人員,已婚,LINE、Facebook、YouTube、Instagram、Telegram
913,臺北市,女,31,25–34歲,碩士以上,事務人員,已婚,LINE、Facebook、YouTube、Instagram、TikTok、Threads
914,新北市,女,35,35–44歲,國中,專業人員,已婚,LINE、Facebook、YouTube、Instagram、TikTok
915,桃園市,女,28,25–34歲,國中,家管,已婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書
916,桃園市,男,73,65歲以上,國中,退休,未婚,LINE、Facebook、YouTube、WeChat
917,彰化縣,男,74,65歲以上,國中,退休,未婚,LINE、Facebook、YouTube
918,高雄市,女,24,15–24歲,大學,專業人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、X(Twitter)
919,澎湖縣,男,65,65歲以上,大學,退休,未婚,LINE、Facebook、Instagram
920,彰化縣,女,40,35–44歲,國中,服務/銷售,已婚,LINE、Facebook、YouTube、小紅書
921,臺北市,男,38,35–44歲,大學,家管,已婚,LINE、Facebook、YouTube、Instagram、TikTok
922,臺北市,男,32,25–34歲,碩士以上,事務人員,已婚,LINE、Facebook、YouTube、Instagram、小紅書、Pinterest
923,新北市,男,24,15–24歲,國小以下,學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、Threads
924,桃園市,女,65,65歲以上,高中(職),退休,已婚,LINE、Facebook、Instagram、WeChat
925,新北市,女,25,25–34歲,大學,專業人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、Threads
926,花蓮縣,女,47,45–54歲,國中,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok
927,彰化縣,男,53,45–54歲,專科,事務人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書
928,新北市,女,61,55–64歲,大學,家管,已婚,LINE、Facebook、YouTube
929,澎湖縣,女,32,25–34歲,高中(職),服務/銷售,未婚,LINE、Facebook、YouTube、TikTok、小紅書、WeChat、X(Twitter)、WhatsApp
930,雲林縣,男,32,25–34歲,碩士以上,服務/銷售,未婚,LINE、Facebook、TikTok、WeChat、X(Twitter)、LinkedIn
931,高雄市,男,43,35–44歲,專科,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、WeChat
932,臺南市,男,56,55–64歲,碩士以上,技術工/勞工,已婚,LINE、Facebook、YouTube
933,新北市,男,58,55–64歲,大學,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、小紅書、WeChat
934,彰化縣,女,55,55–64歲,國小以下,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram
935,桃園市,女,57,55–64歲,高中(職),專業人員,未婚,LINE、Facebook、YouTube、Instagram
936,臺南市,女,23,15–24歲,國中,農林漁牧,已婚,LINE、Facebook、Instagram、TikTok、X(Twitter)
937,雲林縣,女,83,65歲以上,專科,退休,已婚,LINE、Facebook
938,桃園市,女,51,45–54歲,國小以下,事務人員,未婚,LINE、Facebook、YouTube、Instagram
939,高雄市,女,45,45–54歲,高中(職),專業人員,已婚,LINE、YouTube、Instagram、小紅書、WeChat
940,南投縣,女,37,35–44歲,高中(職),服務/銷售,未婚,LINE、Facebook、Instagram、TikTok、小紅書、Threads
941,高雄市,男,71,65歲以上,大學,技術/助理專業,未婚,LINE、Facebook、YouTube
942,彰化縣,男,67,65歲以上,高中(職),退休,未婚,LINE、Facebook、YouTube、Instagram
943,臺南市,男,23,15–24歲,國小以下,事務人員,未婚,LINE、YouTube、Instagram、TikTok、WeChat
944,新北市,女,54,45–54歲,專科,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat
945,高雄市,男,58,55–64歲,高中(職),事務人員,已婚,LINE、Facebook、YouTube、小紅書
946,臺北市,男,38,35–44歲,國小以下,專業人員,已婚,LINE、Facebook、YouTube、Telegram
947,桃園市,女,52,45–54歲,碩士以上,家管,已婚,LINE、Facebook、YouTube、Instagram、TikTok、Threads、Telegram
948,新北市,女,46,45–54歲,高中(職),事務人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok
949,彰化縣,女,46,45–54歲,大學,其他/待業,已婚,LINE、Facebook、YouTube、Telegram
950,臺北市,女,23,15–24歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、X(Twitter)
951,新北市,女,47,45–54歲,國小以下,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、小紅書
952,臺北市,男,63,55–64歲,高中(職),退休,未婚,LINE、Facebook、Instagram
953,高雄市,女,26,25–34歲,高中(職),技術工/勞工,未婚,LINE、Facebook、Instagram、TikTok、Threads
954,新北市,女,68,65歲以上,專科,退休,已婚,LINE、Facebook、YouTube、小紅書
955,桃園市,女,19,15–24歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書
956,臺北市,女,45,45–54歲,國中,其他/待業,已婚,LINE、Facebook、YouTube、Threads
957,臺中市,男,23,15–24歲,大學,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、Tumblr
958,臺中市,男,57,55–64歲,高中(職),技術/助理專業,未婚,LINE、Facebook、YouTube、Threads、Pinterest
959,臺北市,女,26,25–34歲,國中,其他/待業,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat
960,臺東縣,男,66,65歲以上,碩士以上,退休,已婚,LINE、Facebook、YouTube
961,臺北市,女,59,55–64歲,碩士以上,服務/銷售,已婚,LINE、Facebook、YouTube、小紅書
962,臺中市,男,38,35–44歲,大學,家管,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書
963,新北市,女,32,25–34歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、Threads、X(Twitter)
